143,24,[1, 4, 3, 0, 1]
143,24,[1, 4, 3, 0, 3]
144,24,[1, 3, 0, 1, 3]
144,25,[2, 1, 3, 0, 3]
144,26,[1, 3, 3, 3, 3]
145,24,[1, 2, 3, 0, 3]
145,25,[2, 1, 3, 0, 1]
145,26,[1, 4, 4, 3, 1]
145,26,[1, 4, 4, 3, 3]
146,24,[1, 2, 3, 0, 1]
146,24,[1, 3, 0, 3, 3]
146,25,[1, 3, 4, 0, 3]
147,26,[1, 3, 4, 4, 3]
147,26,[1, 4, 4, 3, 2]
147,26,[1, 4, 4, 3, 4]
148,24,[1, 4, 4, 3, 0]
148,26,[1, 4, 3, 4, 1]
149,24,[1, 3, 0, 1, 4]
149,24,[1, 3, 0, 3, 2]
149,24,[1, 3, 0, 3, 4]
149,24,[1, 3, 3, 0, 1]
149,24,[1, 3, 3, 0, 3]
149,24,[1, 4, 1, 0, 3]
149,25,[1, 3, 4, 3, 0]
149,25,[1, 4, 3, 1, 0]
149,25,[1, 4, 3, 3, 0]
149,26,[1, 3, 4, 3, 3]
149,26,[1, 4, 3, 4, 3]
150,24,[1, 3, 0, 3, 1]
150,24,[1, 3, 0, 4, 3]
150,26,[1, 2, 3, 4, 3]
150,26,[1, 3, 3, 2, 3]
150,26,[1, 3, 3, 3, 1]
150,26,[1, 3, 3, 3, 2]
150,26,[1, 4, 3, 3, 2]
151,24,[1, 3, 2, 0, 3]
151,25,[1, 3, 4, 0, 1]
151,25,[1, 4, 3, 4, 0]
151,26,[1, 1, 4, 4, 3]
151,26,[1, 2, 4, 4, 3]
151,26,[1, 3, 3, 3, 4]
151,26,[1, 3, 4, 3, 1]
151,26,[1, 3, 4, 3, 2]
151,26,[1, 4, 2, 4, 3]
151,26,[1, 4, 3, 3, 3]
151,26,[1, 4, 4, 2, 3]
151,26,[2, 1, 4, 4, 3]
152,24,[1, 3, 0, 2, 3]
152,24,[1, 3, 0, 4, 1]
152,24,[1, 3, 2, 0, 1]
152,24,[1, 3, 3, 1, 0]
152,24,[1, 3, 3, 3, 0]
152,24,[1, 4, 3, 0, 2]
152,24,[1, 4, 3, 0, 4]
152,24,[2, 1, 0, 3, 3]
152,25,[1, 3, 4, 0, 2]
152,25,[1, 3, 4, 0, 4]
152,25,[1, 3, 4, 1, 0]
152,26,[1, 1, 4, 3, 1]
152,26,[1, 1, 4, 3, 3]
152,26,[1, 2, 4, 3, 1]
152,26,[1, 2, 4, 3, 3]
152,26,[1, 3, 3, 1, 3]
152,26,[1, 3, 3, 4, 3]
152,26,[1, 3, 4, 1, 3]
152,26,[1, 4, 3, 1, 1]
152,26,[1, 4, 3, 1, 2]
152,26,[1, 4, 3, 1, 3]
152,26,[1, 4, 3, 1, 4]
152,26,[1, 4, 3, 2, 1]
152,26,[1, 4, 3, 2, 3]
152,26,[1, 4, 3, 3, 1]
152,26,[1, 4, 3, 3, 4]
153,23,[1, 0, 3, 2, 3]
153,23,[1, 0, 3, 4, 3]
153,23,[1, 2, 0, 3, 3]
153,24,[1, 3, 0, 1, 0]
153,24,[1, 3, 0, 1, 2]
153,24,[1, 3, 0, 2, 1]
153,24,[1, 3, 0, 3, 0]
153,24,[1, 3, 1, 0, 4]
153,24,[1, 3, 3, 0, 2]
153,24,[1, 3, 3, 0, 4]
153,24,[1, 3, 3, 2, 0]
153,24,[1, 3, 3, 4, 0]
153,24,[1, 4, 1, 0, 1]
153,25,[1, 4, 3, 2, 0]
153,26,[1, 1, 3, 3, 3]
153,26,[1, 1, 3, 4, 3]
153,26,[1, 3, 1, 4, 3]
153,26,[1, 3, 2, 4, 3]
153,26,[1, 3, 4, 2, 3]
153,26,[1, 3, 4, 3, 4]
153,26,[1, 3, 4, 4, 1]
153,26,[1, 4, 1, 3, 1]
153,26,[1, 4, 2, 3, 1]
153,26,[2, 1, 4, 3, 1]
153,26,[2, 1, 4, 3, 3]
154,23,[1, 0, 2, 3, 3]
154,23,[1, 4, 4, 0, 3]
154,24,[1, 1, 3, 0, 1]
154,24,[1, 1, 3, 0, 3]
154,24,[1, 3, 0, 1, 1]
154,25,[1, 3, 1, 4, 0]
154,25,[1, 3, 4, 2, 0]
154,25,[1, 3, 4, 4, 0]
154,26,[1, 2, 3, 3, 1]
154,26,[1, 2, 3, 3, 3]
154,26,[1, 3, 2, 3, 1]
154,26,[1, 3, 2, 3, 3]
154,26,[1, 3, 3, 1, 2]
154,26,[1, 3, 3, 1, 4]
154,26,[1, 3, 3, 2, 1]
154,26,[1, 3, 3, 4, 1]
154,26,[1, 4, 1, 4, 3]
154,26,[1, 4, 3, 4, 2]
154,26,[1, 4, 3, 4, 4]
154,26,[1, 4, 4, 1, 3]
154,26,[2, 1, 3, 4, 3]
155,23,[1, 0, 1, 3, 3]
155,23,[1, 0, 3, 0, 3]
155,23,[1, 0, 3, 3, 1]
155,23,[1, 0, 3, 3, 2]
155,23,[1, 0, 3, 3, 4]
155,24,[0, 1, 3, 0, 3]
155,24,[1, 1, 4, 3, 0]
155,24,[1, 2, 3, 0, 4]
155,24,[1, 2, 4, 3, 0]
155,24,[1, 3, 0, 0, 3]
155,24,[1, 3, 0, 4, 0]
